period_type,universe,investor,code,name,sell_volume,buy_volume,net_volume,sell_value,buy_value,net_value,source
weekly,KOSPI200,foreign,005930,삼성전자,3022082,7138440,4116358,822030706308,1938083522058,1116052815750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,402340,SK스퀘어,237820,346766,108946,266403066000,388280341000,121877275000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,007660,이수페타시스,280113,642947,362834,30511001750,70187133550,39676131800,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,035420,NAVER,121447,214795,93348,23977501250,42408228250,18430727000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,066570,LG전자,108749,198813,90064,21865321150,39996884400,18131563250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,329180,HD현대중공업,58279,98348,40069,26270916250,44180046250,17909130000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,298040,효성중공업,8956,14609,5653,26098092500,42650103500,16552011000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,028260,삼성물산,149635,187768,38133,54814668750,68653856750,13839188000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,016360,삼성증권,41142,144658,103516,3601880800,12639972150,9038091350,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,066970,엘앤에프,101821,168893,67072,10899555150,18045390450,7145835300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,207940,삼성바이오로직스,15049,18802,3753,21044523000,26283373000,5238850000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006800,미래에셋증권,237691,386230,148539,7538315825,12274920475,4736604650,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,078930,GS,67870,108409,40539,7694007700,12281828600,4587820900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,032640,LG유플러스,569776,867141,297365,8249769145,12547608035,4297838890,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010120,LS ELECTRIC,95457,115385,19928,19849736000,24046930500,4197194500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010950,S-Oil,188807,213910,25103,29007001750,32844144900,3837143150,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,071050,한국금융지주,33495,53075,19580,6152968150,9751134200,3598166050,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001040,CJ,31628,53492,21864,4068626200,6882239200,2813613000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004370,농심,10251,17206,6955,4053068500,6808363750,2755295250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,018260,삼성에스디에스,42249,54394,12145,9439602250,12160913500,2721311250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,161890,한국콜마,49733,65374,15641,7170288100,9423328400,2253040300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,033780,KT&G,102240,114311,12071,17740092250,19837956550,2097864300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009150,삼성전기,239109,239886,777,339516460000,341485364000,1968904000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,032830,삼성생명,380787,387121,6334,111083566000,112934095250,1850529250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,039490,키움증권,9214,15974,6760,2422772250,4202946500,1780174250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,034730,SK,37665,40089,2424,21544063000,22911466500,1367403500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,007070,GS리테일,43748,97999,54251,1022664850,2287891050,1265226200,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006280,녹십자,3209,13329,10120,401167800,1666251550,1265083750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,454910,두산로보틱스,37775,55617,17842,2632857500,3879883600,1247026100,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,192820,코스맥스,21405,25627,4222,5822803250,6975354500,1152551250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001450,현대해상,115585,139121,23536,5629505000,6766382925,1136877925,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,307950,현대오토에버,6146,8661,2515,2226361500,3134302750,907941250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,008930,한미사이언스,33053,49517,16464,1651475250,2484639775,833164525,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,028670,팬오션,337502,460964,123462,1945476435,2656905380,711428945,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,361610,SK아이이테크놀로지,56558,98914,42356,915759570,1608079335,692319765,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,002790,아모레퍼시픽홀딩스,56490,81961,25471,1499600150,2174370225,674770075,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,052690,한전기술,72401,77599,5198,9510996600,10170313200,659316600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,097950,CJ제일제당,15292,19015,3723,2680751800,3335189250,654437450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009420,한올바이오파마,44364,57222,12858,2096471025,2695546425,599075400,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,036460,한국가스공사,36336,52007,15671,1294414350,1854685025,560270675,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,012330,현대모비스,96741,98121,1380,36108382500,36612257500,503875000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,138930,BNK금융지주,297625,325026,27401,4668027160,5098078155,430050995,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,068270,셀트리온,129580,131013,1433,23455359500,23715268400,259908900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,267250,HD현대,71423,72627,1204,15054717250,15312499250,257782000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,192080,더블유게임즈,8967,13017,4050,523137900,758994400,235856500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000080,하이트진로,24323,37964,13641,364850580,570401505,205550925,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000880,한화,58298,59720,1422,7624117050,7812765950,188648900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,017670,SK텔레콤,296702,298440,1738,25921920100,26069082450,147162350,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,302440,SK바이오사이언스,18185,21636,3451,647598325,771645175,124046850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,298050,HS효성첨단소재,2595,3171,576,422651100,514009200,91358100,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,112610,씨에스윈드,74625,76185,1560,3755587375,3830754950,75167575,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,042700,한미반도체,154045,154159,114,36387838000,36454861750,67023750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,285130,SK케미칼,15547,16814,1267,799879200,864494200,64615000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,088350,한화생명,852777,862288,9511,4932602520,4989442270,56839750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,137310,에스디바이오센서,43950,52664,8714,269188005,322697220,53509215,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,282330,BGF리테일,17330,17633,303,2405696150,2449211450,43515300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,185750,종근당,8469,9068,599,544787700,583472200,38684500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,002840,미원상사,246,253,7,33284400,34125300,840900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003090,대웅,27826,27404,-422,441140390,434507725,-6632665,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,268280,미원에스씨,194,140,-54,25462300,18387400,-7074900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,008730,율촌화학,12841,11947,-894,192977900,179469940,-13507960,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,002380,KCC,6526,6454,-72,3009182000,2993001000,-16181000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006040,동원산업,9270,8791,-479,329259550,312337750,-16921800,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,081660,미스토홀딩스,62880,62232,-648,2426235650,2401559100,-24676550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,069260,TKG휴켐스,13705,11579,-2126,222312820,187598600,-34714220,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,007700,F&F홀딩스,4524,1195,-3329,61191440,16193460,-44997980,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,300720,한일시멘트,15209,11391,-3818,246036565,184376530,-61660035,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,021240,코웨이,207153,206688,-465,20732854100,20664190350,-68663750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,014820,동원시스템즈,8817,5439,-3378,187103225,115034350,-72068875,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,071320,지역난방공사,10444,9481,-963,810363300,734700800,-75662500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005420,코스모화학,19540,12156,-7384,200902180,124761800,-76140380,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003240,태광산업,359,271,-88,322991000,242478000,-80513000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,030200,KT,72414,70676,-1738,3868682358,3777343908,-91338450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,026960,동서,14761,11120,-3641,375988100,283026000,-92962100,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001680,대상,26188,20608,-5580,466456580,367263980,-99192600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,002030,아세아,812,327,-485,177043000,71073000,-105970000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000120,CJ대한통운,9613,8074,-1539,678790000,570424200,-108365800,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,007310,오뚜기,856,479,-377,270327500,151034000,-119293500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,251270,넷마블,73254,69477,-3777,2521599900,2391127475,-130472425,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011200,HMM,198072,191514,-6558,4149053050,4015185775,-133867275,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001800,오리온홀딩스,15460,9151,-6309,374043550,221468800,-152574750,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,034220,LG디스플레이,1530105,1511073,-19032,12995374600,12837969185,-157405415,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,280360,롯데웰푸드,6968,5728,-1240,889884550,730982100,-158902450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009970,영원무역홀딩스,4067,3033,-1034,679081900,505933900,-173148000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005300,롯데칠성,7378,5456,-1922,698523400,516965400,-181558000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,443060,HD현대마린솔루션,42178,41518,-660,9889677750,9706002750,-183675000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009240,한샘,9474,4740,-4734,372920400,186315150,-186605250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,111770,영원무역,25710,22742,-2968,1850726400,1635761800,-214964600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011780,금호석유화학,29960,28059,-1901,3572028050,3347256500,-224771550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,034230,파라다이스,84575,60284,-24291,809081350,576518130,-232563220,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004000,롯데정밀화학,29155,23757,-5398,1297831625,1058105425,-239726200,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004990,롯데지주,27633,17475,-10158,673751775,426436875,-247314900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011210,현대위아,38444,32491,-5953,2065087500,1743885350,-321202150,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,017960,한국카본,43463,27742,-15721,901605975,571248200,-330357775,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,298020,효성티앤씨,4335,3286,-1049,1388517000,1050790000,-337727000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011790,SKC,34646,30599,-4047,3054317150,2696646850,-357670300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000240,한국앤컴퍼니,40886,26157,-14729,1001476858,640867208,-360609650,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,069620,대웅제약,5578,1945,-3633,606569250,211802400,-394766850,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,036570,NC,21322,19299,-2023,4414232750,3990502500,-423730250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,017800,현대엘리베이터,23909,17696,-6213,1766825700,1308512100,-458313600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003030,세아제강지주,7161,2852,-4309,779641500,309971000,-469670500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,012750,에스원,12477,6704,-5773,1046321900,560178400,-486143500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000990,DB하이텍,218465,215377,-3088,28126919350,27560408550,-566510800,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000670,영풍,44365,31174,-13191,1969126150,1394915550,-574210600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,051600,한전KPS,35401,22919,-12482,1647066275,1062906225,-584160050,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000210,DL,24500,12897,-11603,1288199950,672637700,-615562250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004170,신세계,17768,15423,-2345,6374253250,5534138750,-840114500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005850,에스엘,30296,12829,-17467,1500561925,635007750,-865554175,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,138040,메리츠금융지주,107641,100103,-7538,13887543050,12926577400,-960965650,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,035250,강원랜드,111830,40280,-71550,1600964555,576857360,-1024107195,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,051900,LG생활건강,26075,22595,-3480,7786232750,6739548250,-1046684500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001430,세아베스틸지주,51640,26812,-24828,2254501275,1170524375,-1083976900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006650,대한유화,14952,3809,-11143,1465012900,374421300,-1090591600,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,457190,이수스페셜티케미컬,24236,7189,-17047,1560294750,462912300,-1097382450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,139130,iM금융지주,124211,60077,-64134,2249489180,1086111690,-1163377490,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009540,HD한국조선해양,91330,87835,-3495,30857029650,29690443400,-1166586250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,175330,JB금융지주,248700,209584,-39116,7679961450,6470413625,-1209547825,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,022100,포스코DX,167901,108050,-59851,3446326125,2221650775,-1224675350,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,204320,HL만도,131253,102956,-28297,6221023050,4875414425,-1345608625,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,450080,에코프로머티,79232,35058,-44174,2725341675,1204711550,-1520630125,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,093370,후성,794102,674276,-119826,11134675925,9456894990,-1677780935,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,271560,오리온,56051,40890,-15161,6238772900,4554504900,-1684268000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,180640,한진칼,21669,9443,-12226,2998921800,1305414300,-1693507500,KRX MDCSTAT02401_OUT
