period_type,universe,investor,direction,rank,code,name,net_value
daily,KOSPI200,foreign,buy,1,005930,삼성전자,1289255176000
daily,KOSPI200,foreign,buy,2,402340,SK스퀘어,37851587500
daily,KOSPI200,foreign,buy,3,096770,SK이노베이션,34044766900
daily,KOSPI200,foreign,buy,4,003230,삼양식품,18217385000
daily,KOSPI200,foreign,buy,5,042700,한미반도체,13461376750
daily,KOSPI200,foreign,buy,6,024110,기업은행,13357178800
daily,KOSPI200,foreign,buy,7,078930,GS,12236010850
daily,KOSPI200,foreign,buy,8,006400,삼성SDI,11951465500
daily,KOSPI200,foreign,buy,9,007660,이수페타시스,11688328800
daily,KOSPI200,foreign,buy,10,010950,S-Oil,10813780350
daily,KOSPI200,foreign,buy,11,161890,한국콜마,10703346400
daily,KOSPI200,foreign,buy,12,017670,SK텔레콤,9710439650
daily,KOSPI200,foreign,buy,13,138930,BNK금융지주,9034470940
daily,KOSPI200,foreign,buy,14,000990,DB하이텍,8787637500
daily,KOSPI200,foreign,buy,15,483650,달바글로벌,7861041750
daily,KOSPI200,foreign,sell,1,000660,SK하이닉스,-1178850331000
daily,KOSPI200,foreign,sell,2,034020,두산에너빌리티,-129426048850
daily,KOSPI200,foreign,sell,3,009150,삼성전기,-81541254000
daily,KOSPI200,foreign,sell,4,047040,대우건설,-63784664450
daily,KOSPI200,foreign,sell,5,035420,NAVER,-62407587300
daily,KOSPI200,foreign,sell,6,005380,현대차,-50387064750
daily,KOSPI200,foreign,sell,7,001440,대한전선,-31345322700
daily,KOSPI200,foreign,sell,8,012450,한화에어로스페이스,-29854511000
daily,KOSPI200,foreign,sell,9,042660,한화오션,-29298432950
daily,KOSPI200,foreign,sell,10,055550,신한지주,-28602965100
daily,KOSPI200,foreign,sell,11,028050,삼성E&A,-28494783575
daily,KOSPI200,foreign,sell,12,066570,LG전자,-27854534000
daily,KOSPI200,foreign,sell,13,000720,현대건설,-27439531650
daily,KOSPI200,foreign,sell,14,105560,KB금융,-22285894200
daily,KOSPI200,foreign,sell,15,267270,HD건설기계,-22212992100
daily,KOSPI200,institution,buy,1,005930,삼성전자,382751489250
daily,KOSPI200,institution,buy,2,000660,SK하이닉스,230038469000
daily,KOSPI200,institution,buy,3,402340,SK스퀘어,71761872500
daily,KOSPI200,institution,buy,4,009150,삼성전기,46191434000
daily,KOSPI200,institution,buy,5,096770,SK이노베이션,22613044400
daily,KOSPI200,institution,buy,6,034730,SK,20020522500
daily,KOSPI200,institution,buy,7,003490,대한항공,17757258325
daily,KOSPI200,institution,buy,8,009830,한화솔루션,16414950125
daily,KOSPI200,institution,buy,9,105560,KB금융,16131638200
daily,KOSPI200,institution,buy,10,007660,이수페타시스,15977038200
daily,KOSPI200,institution,buy,11,000150,두산,13301202500
daily,KOSPI200,institution,buy,12,010060,OCI홀딩스,10800497750
daily,KOSPI200,institution,buy,13,128940,한미약품,10750570500
daily,KOSPI200,institution,buy,14,086790,하나금융지주,8361374450
daily,KOSPI200,institution,buy,15,055550,신한지주,7989977900
daily,KOSPI200,institution,sell,1,035420,NAVER,-78406323750
daily,KOSPI200,institution,sell,2,034020,두산에너빌리티,-71337507900
daily,KOSPI200,institution,sell,3,000720,현대건설,-45676603300
daily,KOSPI200,institution,sell,4,006400,삼성SDI,-44871498500
daily,KOSPI200,institution,sell,5,047040,대우건설,-27852665625
daily,KOSPI200,institution,sell,6,005380,현대차,-26261364250
daily,KOSPI200,institution,sell,7,329180,HD현대중공업,-24720178000
daily,KOSPI200,institution,sell,8,003230,삼양식품,-23071184500
daily,KOSPI200,institution,sell,9,015760,한국전력,-19821746500
daily,KOSPI200,institution,sell,10,000270,기아,-14393962550
daily,KOSPI200,institution,sell,11,005490,POSCO홀딩스,-14306646500
daily,KOSPI200,institution,sell,12,042660,한화오션,-13353684950
daily,KOSPI200,institution,sell,13,078930,GS,-12605233900
daily,KOSPI200,institution,sell,14,010120,LS ELECTRIC,-11541557250
daily,KOSPI200,institution,sell,15,086280,현대글로비스,-10729817300
daily,KOSDAQ150,foreign,buy,1,036930,주성엔지니어링,26499998750
daily,KOSDAQ150,foreign,buy,2,095610,테스,15783596150
daily,KOSDAQ150,foreign,buy,3,036540,SFA반도체,14293347075
daily,KOSDAQ150,foreign,buy,4,247540,에코프로비엠,10728073550
daily,KOSDAQ150,foreign,buy,5,403870,HPSP,8047830550
daily,KOSDAQ150,foreign,buy,6,298380,에이비엘바이오,7660066200
daily,KOSDAQ150,foreign,buy,7,222800,심텍,6742231750
daily,KOSDAQ150,foreign,buy,8,030530,원익홀딩스,6448682925
daily,KOSDAQ150,foreign,buy,9,005290,동진쎄미켐,4536353300
daily,KOSDAQ150,foreign,buy,10,196170,알테오젠,4161631000
daily,KOSDAQ150,foreign,buy,11,080220,제주반도체,3835691300
daily,KOSDAQ150,foreign,buy,12,257720,실리콘투,3778112150
daily,KOSDAQ150,foreign,buy,13,087010,펩트론,3094113800
daily,KOSDAQ150,foreign,buy,14,031980,피에스케이홀딩스,2790403500
daily,KOSDAQ150,foreign,buy,15,089030,테크윙,2739744100
daily,KOSDAQ150,foreign,sell,1,058470,리노공업,-55318239650
daily,KOSDAQ150,foreign,sell,2,240810,원익IPS,-21152003050
daily,KOSDAQ150,foreign,sell,3,108490,로보티즈,-11163283750
daily,KOSDAQ150,foreign,sell,4,083650,비에이치아이,-11099475350
daily,KOSDAQ150,foreign,sell,5,089970,브이엠,-11019144250
daily,KOSDAQ150,foreign,sell,6,277810,레인보우로보틱스,-6973705250
daily,KOSDAQ150,foreign,sell,7,319400,현대무벡스,-4647857175
daily,KOSDAQ150,foreign,sell,8,028300,HLB,-4271244350
