recommendation_rank,recommendation_basis,universe,name,score,weekly_return_pct,signal_return_pct,distance_pct,distance_change_3d,cross_date,turnover_ratio,foreign_flow_eok,institution_flow_eok,code,stage,pullback_quality,strong_reason,flow_period,flow_start_date
1,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,카페24,85.7,17.18,18.04,6.44,16.8,2026-09-23,2.54,8.3,1.0,042000,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
2,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,동진쎄미켐,80,9.72,8.57,9.51,14.5,2026-09-22,1.46,45.4,30.8,005290,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
3,당일 수급 기준 · 강한 돌파 추세,KOSPI200,이수페타시스,80,7.97,5.02,20.04,16.64,,1.95,116.9,159.8,007660,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
4,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,네오셈,80,3.49,3.02,30.41,11.92,,2.14,1.6,0.3,253590,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
5,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,에이치브이엠,80,6.48,9.95,33.96,6.61,,2.32,0.6,46.5,295310,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
6,당일 수급 기준 · 강한 돌파 추세,KOSPI200,한솔케미칼,78.5,8.92,6.01,7.18,11.18,2026-09-22,1.63,-30.6,47.8,014680,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
7,당일 수급 기준 · 강한 돌파 추세,KOSPI200,삼성전자,75,4.18,3.24,9.29,11.24,2026-09-21,1.11,12892.6,3827.5,005930,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
8,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,솔브레인홀딩스,75,2.98,5.33,10.59,-0.12,,1.12,4.1,3.8,036830,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
9,당일 수급 기준 · 강한 돌파 추세,KOSPI200,SK아이이테크놀로지,75,5.78,5.46,12.11,8.08,,0.58,31.5,28.1,361610,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
10,당일 수급 기준 · 강한 돌파 추세,KOSPI200,SK이노베이션,75,6.06,5.24,22.05,7.28,,0.61,340.4,226.1,096770,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
11,당일 수급 기준 · 강한 돌파 추세,KOSPI200,한미사이언스,75,3.75,3.75,25.04,5.22,,0.62,9.0,9.4,008930,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
12,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,테스,70,8.22,8.95,8.38,16.64,2026-09-23,0.57,157.8,-9.0,095610,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
13,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,하나머티리얼즈,70,2.61,3.33,8.41,6.66,,0.67,-3.4,3.8,166090,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
14,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,큐리옥스바이오시스템즈,70,2.4,3.37,10.36,6.16,,0.62,6.8,-2.1,445680,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
15,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,유진테크,70,13.54,7.72,19.25,18.55,,1.18,-20.0,82.2,084370,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
16,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,티씨케이,70,5.2,3.47,23.81,5.66,,0.65,-32.2,54.6,064760,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
17,당일 수급 기준 · 강한 돌파 추세,KOSDAQ150,원익홀딩스,70,3.7,6.26,41.32,6.4,,0.98,64.5,-5.2,030530,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,daily,2026-09-23
