universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSPI200,005930,삼성전자,82.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,275000.0,263791.67,-8.41,4.25,9.46,0.0,2026-09-21,2026-09-21,0,N,0.89,0.0,5.77,11160.5,11381.0,6824.9,18535.2,1116052815750,1138104847250,682487914000,1853519661250
KOSDAQ150,089030,테크윙,80.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,48300.0,46801.67,-5.95,3.2,6.69,-2.03,2026-09-21,2026-09-21,0,N,0.9,0.0,5.69,88.7,-32.3,101.0,-83.7,8871517175,-3233461425,10102689150,-8368928875
KOSDAQ150,328130,루닛,79.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,10240.0,9750.17,-15.69,5.02,21.26,0.0,2026-09-21,2026-09-21,0,N,1.74,0.0,16.76,-26.3,17.2,-51.0,14.5,-2629081920,1721802505,-5099993680,1450023115
KOSDAQ150,099320,쎄트렉아이,79.2,신규 돌파 유지,,,76100.0,75893.33,-15.2,0.27,2.82,-3.67,,2026-09-17,2,Y,1.35,0.0,-3.55,-8.1,-0.9,-20.2,0.1,-805034400,-88553300,-2016210500,8030100
KOSPI200,006280,녹십자,79.0,신규 돌파,,,125400.0,124165.0,-0.27,0.99,1.96,-3.61,2026-09-21,2026-09-21,0,N,1.6,0.0,2.7,12.7,0.1,-7.1,4.3,1265083750,14138250,-707362100,433126250
KOSDAQ150,050890,쏠리드,76.7,신규 돌파,,,9420.0,9410.33,-12.91,0.1,4.23,-3.29,,2026-09-18,1,N,2.55,0.0,-3.29,-53.1,0.7,-47.7,1.5,-5307503980,65115050,-4766629605,153409655
KOSPI200,009150,삼성전기,75.8,신규 돌파,,,1432000.0,1426250.0,-11.57,0.4,6.17,0.0,2026-09-21,2026-09-21,0,N,0.89,0.0,3.17,19.7,1292.1,997.4,3181.9,1968904000,129208756500,99743072000,318194293500
KOSDAQ150,189300,인텔리안테크,75.6,신규 돌파 유지,,,68700.0,66602.5,-16.69,3.15,5.8,-1.01,,2026-09-17,2,Y,1.28,0.0,0.15,-6.1,0.5,-23.2,0.8,-609917200,51823150,-2320616550,77161300
KOSPI200,011200,HMM,75.1,신규 돌파 유지,,,21050.0,20714.5,2.4,1.62,2.12,-0.47,,2026-09-17,2,Y,0.79,0.0,0.48,-1.3,23.2,16.2,40.5,-133867275,2319876475,1615072050,4045901400
KOSPI200,007660,이수페타시스,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,110400.0,99050.0,-3.55,11.46,3.02,-2.3,,,,Y,1.58,0.0,7.81,396.8,197.3,-219.7,-101.0,39676131800,19729646200,-21974231600,-10102949050
KOSDAQ150,240810,원익IPS,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,130900.0,114898.33,-6.65,13.93,12.55,0.0,,2026-09-16,3,Y,1.2,0.0,7.74,52.8,77.7,108.5,94.4,5282963900,7771950200,10850427400,9437980600
KOSDAQ150,067310,하나마이크론,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,45150.0,36398.33,-8.49,24.04,27.47,0.0,,2026-09-17,2,Y,1.71,0.0,17.12,368.3,96.4,352.3,123.2,36830245350,9642941350,35232022525,12321296400
KOSDAQ150,253590,네오셈,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,13180.0,10388.33,-5.17,26.87,11.48,0.0,,,,Y,1.46,0.0,7.42,12.7,6.0,16.6,6.1,1268235790,597136525,1663539605,605085295
KOSDAQ150,232140,와이씨,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,14290.0,10777.33,-8.62,32.59,22.92,0.0,,,,Y,1.22,0.0,19.48,110.0,15.4,86.2,14.8,10998342470,1541187690,8622519855,1483190205
KOSDAQ150,437730,삼현,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,55600.0,35884.17,-7.76,54.94,14.41,0.0,,,,Y,2.9,0.0,9.02,55.4,10.2,37.8,27.8,5535539650,1022537900,3783971900,2779633225
KOSDAQ150,263750,펄어비스,74.7,신규 돌파 유지,,,34700.0,34093.33,-5.94,1.78,0.07,-4.14,,2026-09-15,4,Y,0.67,0.0,0.58,-28.2,24.0,-18.6,21.0,-2824825950,2397877000,-1862194150,2096669200
KOSPI200,003030,세아제강지주,74.0,신규 돌파 유지,,,108000.0,105883.33,-9.12,2.0,2.78,-1.46,,2026-09-17,2,Y,0.91,0.0,-1.46,-4.7,4.1,-0.9,5.2,-469670500,411191300,-86024100,522886250
