universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSPI200,005930,삼성전자,82.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,275000.0,263791.67,-8.41,4.25,9.46,0.0,2026-09-21,2026-09-21,0,N,0.89,0.0,5.77,11160.5,11381.0,6824.9,18535.2,1116052815750,1138104847250,682487914000,1853519661250
KOSDAQ150,089030,테크윙,80.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,48300.0,46801.67,-5.95,3.2,6.69,-2.03,2026-09-21,2026-09-21,0,N,0.9,0.0,5.69,88.7,-32.3,101.0,-83.7,8871517175,-3233461425,10102689150,-8368928875
KOSDAQ150,328130,루닛,79.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,10240.0,9750.17,-15.69,5.02,21.26,0.0,2026-09-21,2026-09-21,0,N,1.74,0.0,16.76,-26.3,17.2,-51.0,14.5,-2629081920,1721802505,-5099993680,1450023115
KOSPI200,007660,이수페타시스,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,110400.0,99050.0,-3.55,11.46,3.02,-2.3,,,,Y,1.58,0.0,7.81,396.8,197.3,-219.7,-101.0,39676131800,19729646200,-21974231600,-10102949050
KOSDAQ150,240810,원익IPS,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,130900.0,114898.33,-6.65,13.93,12.55,0.0,,2026-09-16,3,Y,1.2,0.0,7.74,52.8,77.7,108.5,94.4,5282963900,7771950200,10850427400,9437980600
KOSDAQ150,067310,하나마이크론,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,45150.0,36398.33,-8.49,24.04,27.47,0.0,,2026-09-17,2,Y,1.71,0.0,17.12,368.3,96.4,352.3,123.2,36830245350,9642941350,35232022525,12321296400
KOSDAQ150,253590,네오셈,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,13180.0,10388.33,-5.17,26.87,11.48,0.0,,,,Y,1.46,0.0,7.42,12.7,6.0,16.6,6.1,1268235790,597136525,1663539605,605085295
KOSDAQ150,232140,와이씨,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,14290.0,10777.33,-8.62,32.59,22.92,0.0,,,,Y,1.22,0.0,19.48,110.0,15.4,86.2,14.8,10998342470,1541187690,8622519855,1483190205
KOSDAQ150,437730,삼현,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,55600.0,35884.17,-7.76,54.94,14.41,0.0,,,,Y,2.9,0.0,9.02,55.4,10.2,37.8,27.8,5535539650,1022537900,3783971900,2779633225
KOSDAQ150,445680,큐리옥스바이오시스템즈,70.2,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,47900.0,44238.33,-13.07,8.28,1.94,-1.84,,,,Y,0.74,0.0,4.13,12.8,0.5,2.5,0.9,1275827400,45193900,251256525,91757550
KOSPI200,071320,지역난방공사,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,78300.0,70101.67,2.94,11.69,5.4,0.0,,,,Y,1.23,0.0,4.54,-0.8,6.9,-1.2,7.2,-75662500,688910500,-115592900,721112050
KOSDAQ150,161580,필옵틱스,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,32900.0,28952.5,-11.63,13.63,5.64,-7.06,,,,Y,0.63,0.0,4.44,3.9,0.0,-0.3,0.1,385283150,2417950,-34067075,11751175
KOSDAQ150,131970,두산테스나,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,95700.0,83191.67,-19.71,15.04,23.16,0.0,,2026-09-18,1,N,1.48,0.0,10.89,-125.0,47.9,-114.2,131.0,-12502590050,4791265000,-11421570900,13095646250
KOSDAQ150,222800,심텍,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,131600.0,113090.0,1.7,16.37,1.74,-1.72,,,,Y,0.53,0.0,4.53,151.2,15.6,-72.0,3.0,15117086400,1560395500,-7201720150,301061200
KOSDAQ150,101730,위메이드맥스,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,4910.0,4139.42,7.57,18.62,-2.49,-5.58,,,,Y,1.78,0.0,6.16,-0.1,0.1,0.7,0.1,-14484438,5296280,65803155,6918665
KOSPI200,008930,한미사이언스,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,50600.0,41200.0,18.74,22.82,-3.71,-12.31,,,,Y,0.56,0.0,3.48,8.3,8.6,-22.0,18.9,833164525,859565600,-2196284550,1889461650
