universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,signal_return_pct,flow_period,flow_start_date,foreign_flow_eok,institution_flow_eok,foreign_flow_value,institution_flow_value,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,420770,기가비스,97.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,123100.0,122186.67,-9.88,0.75,10.85,0.0,2026-09-23,2026-09-23,0,N,1.57,10.5,3.53,10.8,recent3,2026-09-21,-81.5,134.9,-8147505300,13489094100,0.0,157.4,-28.6,112.4,0,15739930000,-2864579150,11238627500
KOSPI200,402340,SK스퀘어,88.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1181000.0,1139016.67,-11.45,3.69,12.0,0.0,2026-09-23,2026-09-23,0,N,1.11,4.24,4.14,8.65,recent3,2026-09-21,2434.3,1050.5,243430804500,105051133000,3810.6,1024.0,1215.5,673.4,381056276000,102396204000,121553529500,67336081500
KOSDAQ150,399720,가온칩스,84.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,47250.0,44950.0,-4.61,5.12,10.12,0.0,2026-09-22,2026-09-22,1,N,1.78,7.14,1.07,9.76,recent3,2026-09-21,17.5,-11.1,1749453800,-1108336125,0.0,0.0,6.4,-8.7,0,0,638250025,-871970525
KOSPI200,011200,HMM,84.1,신규 돌파 유지,,,20850.0,20789.83,2.37,0.29,-1.04,-1.65,,2026-09-17,4,Y,0.82,-0.95,-1.65,-0.71,recent3,2026-09-21,-2.8,31.6,-280177475,3164119675,0.0,0.0,-1.5,8.4,0,0,-146310200,844243200
KOSPI200,008730,율촌화학,83.3,돌파 후 눌림목,,매도압력 확인,14870.0,14785.67,-3.28,0.57,-1.5,-8.44,2026-09-23,2026-09-23,0,N,1.4,-0.87,1.71,-0.87,recent3,2026-09-21,-3.5,1.2,-345026560,121109095,0.0,0.0,-3.3,0.7,0,0,-331518600,72687605
KOSPI200,034730,SK,82.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,607000.0,582608.33,-5.75,4.19,11.6,-0.82,2026-09-22,2026-09-22,1,N,1.11,5.02,3.23,8.98,recent3,2026-09-21,-62.3,496.8,-6229266000,49683688000,0.0,559.0,-76.0,358.9,0,55901389000,-7596669500,35891383000
KOSPI200,011790,SKC,80.8,신규 돌파 유지,,,89100.0,86451.67,-13.83,3.06,2.83,-3.26,,2026-09-18,3,Y,0.79,0.22,0.34,1.48,recent3,2026-09-21,0.3,16.9,34094500,1692847200,0.0,0.0,3.9,8.4,0,0,391764800,839809700
KOSDAQ150,042000,카페24,80.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17800.0,16722.83,-5.78,6.44,16.8,0.0,2026-09-23,2026-09-23,0,N,2.54,17.18,18.04,19.46,recent3,2026-09-21,10.5,-2.4,1048437705,-242556535,0.0,0.0,8.2,-1.6,0,0,822387275,-158451095
KOSPI200,009150,삼성전기,80.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1501000.0,1408900.0,-11.47,6.54,9.86,0.0,2026-09-21,2026-09-21,2,Y,1.12,4.82,0.81,4.82,recent3,2026-09-21,1181.9,2996.9,118192757500,299688145000,976.8,4460.5,1162.2,1704.8,97678811000,446049493000,116223853500,170479388500
KOSDAQ150,005290,동진쎄미켐,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,46850.0,42780.0,-10.82,9.51,14.5,0.0,2026-09-22,2026-09-22,1,N,1.46,9.72,8.57,13.03,recent3,2026-09-21,58.9,44.0,5894873825,4401566050,64.8,0.0,45.1,44.3,6476991000,0,4505860375,4434476925
