universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,signal_return_pct,flow_period,flow_start_date,foreign_flow_eok,institution_flow_eok,foreign_flow_value,institution_flow_value,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,420770,기가비스,97.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,123100.0,122186.67,-9.88,0.75,10.85,0.0,2026-09-23,2026-09-23,0,N,1.57,10.5,3.53,10.8,recent3,2026-09-21,-81.5,134.9,-8147505300,13489094100,-49.1,157.4,-28.6,112.4,-4905232300,15739931200,-2864579150,11238627500
KOSPI200,402340,SK스퀘어,88.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1181000.0,1139016.67,-11.45,3.69,12.0,0.0,2026-09-23,2026-09-23,0,N,1.11,4.24,4.14,8.65,recent3,2026-09-21,2434.3,1050.5,243430804500,105051133000,3810.6,1024.0,1215.5,673.4,381056276500,102396203000,121553529500,67336081500
KOSDAQ150,399720,가온칩스,84.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,47250.0,44950.0,-4.61,5.12,10.12,0.0,2026-09-22,2026-09-22,1,N,1.78,7.14,1.07,9.76,recent3,2026-09-21,17.5,-11.1,1749453800,-1108336125,4.1,-9.2,6.4,-8.7,413192500,-916479750,638250025,-871970525
KOSPI200,034730,SK,82.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,607000.0,582608.33,-5.75,4.19,11.6,-0.82,2026-09-22,2026-09-22,1,N,1.11,5.02,3.23,8.98,recent3,2026-09-21,-62.3,496.8,-6229266000,49683688000,-229.4,559.0,-76.0,358.9,-22938594500,55901391000,-7596669500,35891383000
KOSDAQ150,042000,카페24,80.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17800.0,16722.83,-5.78,6.44,16.8,0.0,2026-09-23,2026-09-23,0,N,2.54,17.18,18.04,19.46,recent3,2026-09-21,10.5,-2.4,1048437705,-242556535,2.8,-2.4,8.2,-1.6,277684930,-242426445,822387275,-158451095
KOSPI200,009150,삼성전기,80.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1501000.0,1408900.0,-11.47,6.54,9.86,0.0,2026-09-21,2026-09-21,2,Y,1.12,4.82,0.81,4.82,recent3,2026-09-21,1181.9,2996.9,118192757500,299688145000,976.8,4460.5,1162.2,1704.8,97678811500,446049493500,116223853500,170479388500
KOSDAQ150,005290,동진쎄미켐,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,46850.0,42780.0,-10.82,9.51,14.5,0.0,2026-09-22,2026-09-22,1,N,1.46,9.72,8.57,13.03,recent3,2026-09-21,58.9,44.0,5894873825,4401566050,64.8,52.2,45.1,44.3,6476992125,5224210400,4505860375,4434476925
KOSPI200,007660,이수페타시스,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,119200.0,99303.33,-2.69,20.04,16.64,0.0,,,,Y,1.95,7.97,5.02,13.52,recent3,2026-09-21,330.9,537.7,33089586450,53769666150,-321.4,96.3,-65.9,340.4,-32140800750,9631524150,-6586545350,34040019950
KOSDAQ150,067310,하나마이크론,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,46200.0,36300.83,-8.37,27.27,21.53,0.0,,2026-09-17,4,Y,2.09,2.33,0.54,18.46,recent3,2026-09-21,418.3,99.7,41833406875,9970811150,528.3,179.0,50.0,3.3,52830024300,17903443025,5003161525,327869800
KOSDAQ150,053800,안랩,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,73600.0,57568.33,2.92,27.85,8.97,0.0,,,,Y,2.11,6.98,2.51,9.52,recent3,2026-09-21,61.7,40.1,6167206500,4009759050,118.1,48.1,49.6,22.3,11811735900,4814700100,4960345150,2227843250
KOSDAQ150,232140,와이씨,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,14270.0,10825.5,-6.97,31.82,20.58,-0.21,,,,Y,1.64,-0.14,-0.21,18.72,recent3,2026-09-21,63.9,29.4,6394084295,2936917525,46.2,28.4,-46.0,14.0,4620705915,2835318955,-4604258175,1395729835
KOSDAQ150,089030,테크윙,79.2,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,49150.0,46695.0,-6.12,5.26,7.75,-0.3,2026-09-21,2026-09-21,2,Y,1.14,1.76,2.72,7.2,recent3,2026-09-21,126.2,-93.5,12617503275,-9352956350,128.7,-128.3,37.5,-61.2,12874447075,-12831791600,3745986100,-6119494925
KOSPI200,002840,미원상사,79.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,136500.0,127623.33,4.11,6.96,0.5,-0.29,,,,Y,0.57,0.37,-0.29,3.49,recent3,2026-09-21,0.5,0.6,50979450,55119650,0.1,1.0,0.5,0.2,9198850,102785750,50138550,19190250
KOSPI200,014680,한솔케미칼,78.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,238000.0,222061.67,-8.95,7.18,11.18,0.0,2026-09-22,2026-09-22,1,N,1.63,8.92,6.01,11.21,recent3,2026-09-21,-69.3,114.1,-6928850250,11410663500,-122.9,195.3,-47.0,90.8,-12291463000,19526773250,-4702145250,9076652000
KOSDAQ150,058470,리노공업,76.0,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,74600.0,69076.67,-10.76,8.0,8.15,-1.19,2026-09-21,2026-09-21,2,Y,1.38,5.97,-1.19,6.42,recent3,2026-09-21,-614.6,168.0,-61464275800,16804305300,-619.8,236.2,-605.4,225.1,-61975157950,23619666850,-60544384150,22511165300
KOSPI200,005930,삼성전자,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,286500.0,262150.0,-8.46,9.29,11.24,0.0,2026-09-21,2026-09-21,2,Y,1.11,4.18,3.24,8.52,recent3,2026-09-21,25971.7,15917.7,2597168423250,1591769219500,16121.9,23581.4,14811.2,4536.6,1612187572500,2358143006500,1481115607500,453664372250
KOSPI200,066570,LG전자,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,210500.0,191190.0,-7.27,10.1,5.87,-2.09,,,,Y,1.12,3.69,-2.09,5.46,recent3,2026-09-21,715.5,724.0,71553193500,72398998050,515.6,730.5,534.2,565.0,51556500850,73052767800,53421630250,56498187250
KOSPI200,361610,SK아이이테크놀로지,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17190.0,15333.5,-2.84,12.11,8.08,-2.55,,,,Y,0.58,5.78,5.46,6.57,recent3,2026-09-21,45.3,44.7,4530449710,4468671495,39.0,66.1,38.4,34.4,3899805545,6608803325,3838129945,3444743375
KOSDAQ150,131970,두산테스나,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,94200.0,82436.67,-18.45,14.27,11.02,-1.57,,2026-09-18,3,Y,1.34,-1.57,1.07,8.15,recent3,2026-09-21,-235.3,20.6,-23530809050,2060478050,-221.6,90.0,-110.3,-27.3,-22162126600,9003714500,-11028219000,-2730786950
KOSPI200,003490,대한항공,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,31500.0,27489.17,3.3,14.59,8.12,-0.47,,,,Y,1.19,8.43,-0.47,8.06,recent3,2026-09-21,691.7,603.8,69170963725,60381810900,665.6,656.0,731.4,583.1,66564933550,65599466775,73139762325,58308437250
KOSDAQ150,240810,원익IPS,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,132400.0,113900.0,-7.55,16.24,10.86,0.0,,2026-09-16,5,Y,1.57,1.15,1.46,6.77,recent3,2026-09-21,-298.8,105.6,-29884957200,10558267150,-213.4,118.4,-351.7,27.9,-21343105550,11844251450,-35167921100,2786316950
KOSDAQ150,084370,유진테크,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,161800.0,135685.0,-5.75,19.25,18.55,0.0,,2026-09-16,5,Y,1.18,13.54,7.72,18.36,recent3,2026-09-21,32.3,88.4,3230292800,8837430300,38.7,56.6,28.9,91.1,3869653500,5657099550,2887187400,9113646100
KOSPI200,096770,SK이노베이션,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,148700.0,121836.67,9.5,22.05,7.28,-2.87,,,,Y,0.61,6.06,5.24,4.42,recent3,2026-09-21,533.9,143.6,53386420500,14364476850,530.4,96.8,590.9,139.6,53041756750,9684179300,59085346200,13958337600
KOSPI200,008930,한미사이언스,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,52500.0,41985.83,19.44,25.04,5.22,-4.72,,,,Y,0.62,3.75,3.75,8.14,recent3,2026-09-21,14.8,23.6,1475728475,2358477050,-31.2,58.3,6.4,15.0,-3123752850,5834848650,642563950,1498911450
KOSPI200,000990,DB하이텍,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,131700.0,103775.0,-14.47,26.91,6.84,-0.83,,2026-09-14,7,Y,1.04,-0.83,1.07,5.19,recent3,2026-09-21,61.6,32.0,6158653650,3204625468,-213.7,14.3,67.3,41.6,-21367652350,1432383305,6725164450,4161501750
KOSDAQ150,253590,네오셈,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,13640.0,10459.33,-3.41,30.41,11.92,0.0,,,,Y,2.14,3.49,3.02,10.53,recent3,2026-09-21,-12.2,19.6,-1218457290,1963857525,-6.6,19.7,-24.9,13.7,-661820605,1966596325,-2486693080,1366721000
KOSDAQ150,222800,심텍,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,149400.0,113910.0,2.51,31.16,19.74,0.0,,,,Y,1.01,13.53,0.34,18.29,recent3,2026-09-21,540.1,20.9,54005931100,2089207550,329.5,-20.8,388.9,5.3,32949789550,-2082602000,38888844700,528812050
KOSDAQ150,036810,에프에스티,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,31250.0,23671.33,-3.65,32.02,16.88,0.0,,,,Y,1.37,3.48,3.31,14.26,recent3,2026-09-21,-15.5,29.1,-1549588875,2905214200,-20.7,31.9,-17.7,8.6,-2073106550,3188923375,-1766277325,858047625
KOSDAQ150,295310,에이치브이엠,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,64100.0,47851.67,-17.47,33.96,6.61,0.0,,,,Y,2.32,6.48,9.95,6.48,recent3,2026-09-21,-26.0,46.4,-2604912950,4641506550,-90.8,108.1,-9.0,37.2,-9080994700,10805844800,-904967150,3722352350
