universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,signal_return_pct,flow_period,flow_start_date,foreign_flow_eok,institution_flow_eok,foreign_flow_value,institution_flow_value,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,005290,동진쎄미켐,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,46850.0,42780.0,-10.82,9.51,14.5,0.0,2026-09-22,2026-09-22,1,N,1.46,9.72,8.57,8.57,daily,2026-09-23,45.4,30.8,4536353000,3075354000,64.8,0.0,45.1,44.3,6476991000,0,4505860375,4434476925
KOSPI200,007660,이수페타시스,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,119200.0,99303.33,-2.69,20.04,16.64,0.0,,,,Y,1.95,7.97,5.02,5.02,daily,2026-09-23,116.9,159.8,11688329000,15977038000,-321.4,0.0,-65.9,340.4,-32140800000,0,-6586545350,34040019950
KOSDAQ150,042000,카페24,75.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,17800.0,16722.83,-5.78,6.44,16.8,0.0,2026-09-23,2026-09-23,0,N,2.54,17.18,18.04,18.04,daily,2026-09-23,0.0,0.0,0,0,0.0,0.0,8.2,-1.6,0,0,822387275,-158451095
KOSPI200,005930,삼성전자,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,286500.0,262150.0,-8.46,9.29,11.24,0.0,2026-09-21,2026-09-21,2,Y,1.11,4.18,3.24,3.24,daily,2026-09-23,12892.6,3827.5,1289255176000,382751487000,16121.9,23581.4,14811.2,4536.6,1612187572000,2358143005000,1481115607500,453664372250
KOSPI200,096770,SK이노베이션,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,148700.0,121836.67,9.5,22.05,7.28,-2.87,,,,Y,0.61,6.06,5.24,5.24,daily,2026-09-23,340.4,226.1,34044767000,22613044000,530.4,0.0,590.9,139.6,53041758000,0,59085346200,13958337600
KOSDAQ150,295310,에이치브이엠,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,64100.0,47851.67,-17.47,33.96,6.61,0.0,,,,Y,2.32,6.48,9.95,9.95,daily,2026-09-23,0.0,46.5,0,4652501000,-90.8,108.1,-9.0,37.2,-9080994000,10805848000,-904967150,3722352350
KOSPI200,014680,한솔케미칼,73.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,238000.0,222061.67,-8.95,7.18,11.18,0.0,2026-09-22,2026-09-22,1,N,1.63,8.92,6.01,6.01,daily,2026-09-23,0.0,0.0,0,0,0.0,0.0,-47.0,90.8,0,0,-4702145250,9076652000
KOSDAQ150,095610,테스,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,161900.0,149375.0,-3.57,8.38,16.64,0.0,2026-09-23,2026-09-23,0,N,0.57,8.22,8.95,8.95,daily,2026-09-23,157.8,0.0,15783596000,0,342.0,0.0,205.7,-23.6,34198061000,0,20569427200,-2360415850
KOSDAQ150,084370,유진테크,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,161800.0,135685.0,-5.75,19.25,18.55,0.0,,2026-09-16,5,Y,1.18,13.54,7.72,7.72,daily,2026-09-23,0.0,82.2,0,8220997000,0.0,56.6,28.9,91.1,0,5657101000,2887187400,9113646100
KOSDAQ150,064760,티씨케이,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,283000.0,228573.33,-0.68,23.81,5.66,0.0,,,,Y,0.65,5.2,3.47,3.47,daily,2026-09-23,-32.2,54.6,-3215531000,5458991000,0.0,0.0,-22.1,67.2,0,0,-2210510500,6721875750
KOSDAQ150,030530,원익홀딩스,70,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,28000.0,19813.0,-3.8,41.32,6.4,0.0,,,,Y,0.98,3.7,6.26,6.26,daily,2026-09-23,64.5,0.0,6448683000,0,0.0,0.0,64.5,-7.3,0,0,6448161850,-726499300
