recommendation_rank,recommendation_basis,universe,name,score,weekly_return_pct,signal_return_pct,distance_pct,distance_change_3d,cross_date,turnover_ratio,foreign_flow_eok,institution_flow_eok,code,stage,pullback_quality,strong_reason,flow_period,flow_start_date
1,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,기가비스,97.8,10.5,10.8,0.75,10.85,2026-09-23,1.57,-81.5,134.9,420770,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
2,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,SK스퀘어,88.9,4.24,8.65,3.69,12.0,2026-09-23,1.11,2434.3,1050.5,402340,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
3,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,가온칩스,84.6,7.14,9.76,5.12,10.12,2026-09-22,1.78,17.5,-11.1,399720,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
4,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,SK,82.4,5.02,8.98,4.19,11.6,2026-09-22,1.11,-62.3,496.8,034730,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
5,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,카페24,80.7,17.18,19.46,6.44,16.8,2026-09-23,2.54,10.5,-2.4,042000,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
6,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,삼성전기,80.4,4.82,4.82,6.54,9.86,2026-09-21,1.12,1181.9,2996.9,009150,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
7,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,동진쎄미켐,80,9.72,13.03,9.51,14.5,2026-09-22,1.46,58.9,44.0,005290,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
8,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSPI200,이수페타시스,80,7.97,13.52,20.04,16.64,,1.95,330.9,537.7,007660,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
9,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,하나마이크론,80,2.33,18.46,27.27,21.53,,2.09,418.3,99.7,067310,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
10,최근 3거래일 수급 기준 · 강한 돌파 추세,KOSDAQ150,안랩,80,6.98,9.52,27.85,8.97,,2.11,61.7,40.1,053800,강한 돌파 추세,,주간수익률·60일선 이격·거래대금/수급 확인,recent3,2026-09-21
